stop_loss,buy_threshold,sell_threshold,max_positions,prediction_steps,cumulative_profit_loss,number_of_trades,max_drawdown
0.98,1.0075,0.9975,2,5,0.03181308553219808,3,0.0
0.98,1.0075,0.9975,2,10,0.0,2,0.0
0.98,1.0075,0.9975,2,15,0.0,1,0.0
0.98,1.0075,0.9975,3,5,0.03747877763832393,3,0.0
0.98,1.0075,0.9975,3,10,0.0,2,0.0
0.98,1.0075,0.9975,3,15,0.0,1,0.0
0.98,1.0075,0.995,1,5,0.02680151177135068,2,0.0
0.98,1.0075,0.995,1,10,0.021250108037770398,1,0.0
0.98,1.0075,0.995,1,15,0.0,1,0.0
0.98,1.0075,0.995,2,5,0.0,1,0.0
0.98,1.0075,0.995,2,10,0.0,1,0.0
0.98,1.0075,0.995,2,15,0.0,1,0.0
0.98,1.0075,0.995,3,5,0.0,2,0.0
0.98,1.0075,0.995,3,10,0.0,1,0.0
0.98,1.0075,0.995,3,15,0.0,1,0.0
0.98,1.0075,0.9925,1,5,0.0,1,0.0
0.98,1.0075,0.9925,1,10,0.0,1,0.0
0.98,1.0075,0.9925,1,15,0.0,1,0.0
0.98,1.0075,0.9925,2,5,0.0,2,0.0
0.98,1.0075,0.9925,2,10,0.0,1,0.0
0.98,1.0075,0.9925,2,15,0.0,1,0.0
0.98,1.0075,0.9925,3,5,0.0,2,0.0
0.98,1.0075,0.9925,3,10,0.0,1,0.0
0.98,1.0075,0.9925,3,15,0.0,1,0.0
0.99,1.0025,0.9975,1,5,0.0,1,0.0
0.99,1.0025,0.9975,1,10,0.0,1,0.0
0.99,1.0025,0.9975,1,15,0.0,1,0.0
0.99,1.0025,0.9975,2,5,0.0,1,0.0
0.99,1.0025,0.9975,2,10,0.0,1,0.0
0.99,1.0025,0.9975,2,15,0.0,1,0.0
0.99,1.0025,0.9975,3,5,0.0,1,0.0
0.99,1.0025,0.9975,3,10,0.0,1,0.0
0.99,1.0025,0.9975,3,15,0.0,1,0.0
0.99,1.0025,0.995,1,5,0.0,1,0.0
0.99,1.0025,0.995,1,10,0.0,1,0.0
0.99,1.0025,0.995,1,15,0.0,1,0.0
0.99,1.0025,0.995,2,5,0.0,1,0.0
0.99,1.0025,0.995,2,10,0.0,1,0.0
0.99,1.0025,0.995,2,15,0.0,1,0.0
0.99,1.0025,0.995,3,5,0.0,1,0.0
0.99,1.0025,0.995,3,10,0.0,1,0.0
0.99,1.0025,0.995,3,15,0.0,1,0.0
0.99,1.0025,0.9925,1,5,0.0,1,0.0
0.99,1.0025,0.9925,1,10,0.0,1,0.0
0.99,1.0025,0.9925,1,15,0.0,1,0.0
0.99,1.0025,0.9925,2,5,0.0,1,0.0
0.99,1.0025,0.9925,2,10,0.0,1,0.0
0.99,1.0025,0.9925,2,15,0.0,1,0.0
0.99,1.0025,0.9925,3,5,0.0,1,0.0
0.99,1.0025,0.9925,3,10,0.0,1,0.0
0.99,1.0025,0.9925,3,15,0.0,0,0.0
0.99,1.005,0.9975,1,5,0.0,0,0.0
0.99,1.005,0.9975,1,10,0.0,0,0.0
0.99,1.005,0.9975,1,15,0.0,0,0.0
0.99,1.005,0.9975,2,5,0.0,0,0.0
0.99,1.005,0.9975,2,10,0.0,0,0.0
0.99,1.005,0.9975,2,15,0.0,0,0.0
0.99,1.005,0.9975,3,5,0.0,0,0.0
0.99,1.005,0.9975,3,10,0.0,0,0.0
0.99,1.005,0.9975,3,15,0.0,0,0.0
0.99,1.005,0.995,1,5,0.0,0,0.0
0.99,1.005,0.995,1,10,0.0,0,0.0
0.99,1.005,0.995,1,15,0.0,0,0.0
0.99,1.005,0.995,2,5,0.0,0,0.0
0.99,1.005,0.995,2,10,0.0,0,0.0
0.99,1.005,0.995,2,15,0.0,0,0.0
0.99,1.005,0.995,3,5,0.0,0,0.0
0.99,1.005,0.995,3,10,0.0,0,0.0
0.99,1.005,0.995,3,15,0.0,0,0.0
0.99,1.005,0.9925,1,5,0.0,0,0.0
0.99,1.005,0.9925,1,10,0.0,0,0.0
0.99,1.005,0.9925,1,15,0.0,0,0.0
0.99,1.005,0.9925,2,5,0.0,0,0.0
0.99,1.005,0.9925,2,10,0.0,0,0.0
